CPU Overall Power Consumption,GPU Power,FPS
132.258,342.572,108
133.388,343.27,112
133.226,343.204,112
130.522,341.619,124
129.951,344.321,115
129.958,345.081,112
129.401,345.027,113
131.825,343.807,123
130.673,343.133,121
130.501,344.036,131
127.882,344.248,130
126.176,346.205,133
125.974,346.608,131
126.34,345.807,131
127.07,341.336,129
128.25,343.406,128
136.493,341.989,125
128.437,342.859,128
127.184,342.814,128
128.677,342.766,129
131.238,343.608,130
132.006,341.828,136
130.567,339.246,137
128.981,341.832,130
135.04,341.304,126
130.027,338.465,129
128.407,342.178,129
128.138,344.054,131
129.502,342.867,132
126.708,341.113,136
127.43,339.556,133
128.53,340.492,134
147.027,322.559,107
143.671,337.666,130
127.146,341.798,134
123.854,340.659,135
123.738,342.479,133
124.883,342.847,129
125.216,346.038,130
124.621,345.813,130
124.263,345.144,128
126.308,339.983,128
129.409,346.249,131
126.576,339.718,131
127.437,341.626,130
124.967,344.269,131
125.461,343.261,130
125.492,346.143,131
124.984,346.53,130
125.416,347.082,130
123.773,344.89,129
124.372,343.533,130
124.672,342.499,130
125.344,340.871,130
125.486,342.214,130
124.399,343.019,131
125.666,342.977,130
124.946,341.74,130
125.218,342.529,128
125.857,346.009,130
124.798,345.717,129
125.321,344.335,128
125.502,344.731,131
125.239,343.393,130
125.716,343.209,130
125.758,341.941,131
126.062,342.878,131
124.666,342.66,129
126.089,342.276,129
126.18,340.14,126
130.191,341.793,129
126.53,344.513,131
126.642,339.968,132
126.681,343.958,132
126.12,339.781,134
125.31,342.95,133
125.236,341.689,133
126.245,344.199,129
126.42,342.729,128
126.266,344.84,134
126.068,344.516,137
125.896,345.245,134
125.569,343.622,134
125.999,345.547,133
126.64,342.897,133
126.845,343.721,133
126.081,343.665,134
125.591,342.47,137
125.638,340.397,135
126.373,340.7,135
124.545,344.067,132
124.247,341.365,134
124.871,340.241,133
125.268,340.107,134
125.768,341.615,133
125.137,341.185,140
124.214,345.11,143
124.495,343.389,141
125.515,345.972,141
125.283,341.558,172
126.574,338.776,132
126.925,343.924,127
125.726,344.319,129
125.638,343.071,129
125.476,345.562,129
125.697,341.975,129
124.569,345.261,147
124.226,344.519,140
125.728,342.131,133
126.99,341.953,127
126.128,339.437,137
126.852,341.225,130
126.96,339.356,130
126.575,340.951,130
126.284,341.226,129
125.751,339.749,130
126.286,342.46,128
125.882,342.223,128
125.551,341.818,128
125.559,342.005,128
126.061,341.705,129
127.24,345.837,130
125.85,342.525,143
126.651,346.081,132
126.584,343.599,132
126.416,345.187,130
126.627,344.158,125
124.924,343.991,127
125.378,340.819,136
127.436,345.632,135
128.918,344.751,121
125.351,344.761,125
124.856,340.981,127
124.961,342.234,127
123.481,342.627,126
123.938,341.604,127
124.165,343.47,127
124.626,343.553,124
124.531,341.435,126
123.594,343.079,122
122.126,342.895,121
123.165,341.621,122
131.866,344.135,122
131.743,345.151,124
129.94,342.907,124
128.175,340.551,126
124.384,340.594,127
122.575,341.762,130
126.617,342.442,124
130.311,343.3,120
129.195,341.608,121
123.883,342.906,121
122.346,341.502,127
124.009,343.764,126
123.703,342.848,129
124.587,343.416,132
122.66,343.053,147
127.93,341.316,126
129.948,343.267,126
127.541,346.903,126
129.285,346.025,118
128.59,342.44,122
126.503,340.282,121
124.201,344.141,120
123.361,344.421,120
122.267,338.999,118
124.71,340.69,118
124.283,346.014,125
123.207,342.479,117
124.125,340.906,124
127.902,341.436,119
125.961,340.98,120
122.948,342.765,120
123.246,343.503,126
124.103,344.895,133
124.662,339.579,137
132.023,340.463,126
126.115,344.42,124
125.38,341.818,130
128.797,339.501,127
140.37,341.029,124
127.099,339.904,136
125.792,347.603,131
125.004,342.108,133
130.948,342.686,141
130.617,342.077,134
138.166,342.161,131
132.424,337.475,136
128.61,343.459,144
131.043,336.594,140
132.311,337.259,138
132.028,339.903,134
131.168,340.444,139
131.47,337.453,135
130.79,342.74,140
129.842,338.75,143
125.324,339.675,151
124.896,339.487,155
123.24,340.417,154
123.303,340.21,154
126.373,340.292,152
126.561,339.156,159
124.821,339.279,158
125.455,340.353,156
124.618,340.414,157
124.848,339.189,157
125.792,336.125,151
135.075,340.203,144
136.358,345.648,143
128.016,341.166,137
127.996,345.733,141
127.705,339.377,137
124.914,345.612,147
124.703,340.614,151
124.729,341.398,141
129.022,342.733,143
126.645,342.573,143
127.69,342.851,145
126.377,340.743,148
127.159,345.579,148
125.187,345.827,148
125.288,343.489,150
124.764,342.956,152
126.101,343.971,147
126.78,343.64,129
129.267,342.355,132
128.721,343.915,138
128.887,346.88,143
128.202,344.63,147
128.919,340.752,131
131.47,340.445,132
126.805,338.134,151
124.261,342.491,158
125.456,345.277,151
126.674,345.603,148
126.505,345.38,141
125.473,343.987,140
127.833,341.13,139
127.37,344.529,149
122.656,344.249,161
125.034,343.436,138
127.716,343.912,135
129.311,344.947,137
127.464,339.618,158
128.141,343.101,142
127.258,341.27,141
125.974,340.172,145
125.113,339.765,143
124.627,340.532,144
124.568,340.334,144
120.776,264.991,134
126.989,346.693,148
126.538,346.429,149
128.224,344.025,149
131.402,348.712,151
125.808,347.312,152
130.203,348.561,152
128.67,345.956,150
129.681,345.844,150
132.47,345.988,145
133.97,344.028,138
134.923,343.589,139
129.816,349.047,150
124.73,347.823,163
125.42,341.674,160
131.895,333.258,178
132.008,334.466,158
133.825,343.196,148
133.395,345.412,152
132.537,344.722,153
132.55,347.57,154
132.526,346.249,155
106.729,328.651,155
132.293,346.05,154
132.072,346.033,154
132.304,345.325,153
132.878,345.737,148
133.444,345.937,141
126.743,347.058,149
125.235,346.486,145
127.703,344.776,148
131.941,342.37,144
122.756,347.533,156
124.537,346.684,157
129.471,347.604,150
131.401,347.648,147
123.885,348.717,153
124.049,332.27,125
124.952,345.053,158
126.025,344.004,158
123.874,346.774,143
122.511,345.77,147
123.254,347.285,163
125.152,345.649,135
130.836,346.997,131
131.233,344.45,110
133.789,348.998,138
134.74,346.688,141
128.108,348.232,149
126.428,347.058,134
132.9,342.964,121
132.953,348.758,118
128.622,347.944,142
124.936,344.408,138
124.751,346.235,134
128.949,346.666,128
129.907,347.553,130
135.6,341.232,108
131.68,347.006,126
131.59,343.701,112
133.966,346.167,113
134.425,344.46,113
134.562,347.183,112
133.672,347.763,115
132.884,348.38,117
130.736,348.443,123
131.205,345.294,124
132.043,346.093,120
131.832,347.969,121
131.048,348.428,120
130.791,348.201,118
130.399,346.698,118
131.099,347.248,118
132.011,347.686,115
131.564,346.007,115
133.95,344.866,111
133.66,347.597,114
129.814,348.312,119
128.992,347.718,116
129.281,346.986,118
127.999,348.522,118
127.122,347.817,119
129.043,347.208,121
128.628,346.398,120
129.113,346.183,123
128.13,346.557,122
129.901,347.69,120
130.125,348.072,126
129.626,346.57,123
130.935,347.46,122
129.579,346.388,129
127.452,347.87,123
126.234,347.805,122
126.983,349.047,124
123.98,348.179,125
126.283,347.823,121
127.24,345.362,127
125.338,348.312,131
131.306,347.727,123
127.579,347.871,123
126.487,345.324,127
124.817,347.987,131
126.693,347.487,117
129.674,346.763,138
128.894,346.288,136
130.241,345.714,131
127.616,348.324,137
130.855,345.071,122
129.35,345.418,122
128.551,347.677,124
131.636,347.177,121
133.37,347.102,127
129.4,347.334,138
131.815,347.721,122
132.252,346.549,117
131.829,347.624,118
131.14,348.338,117
131.412,346.902,121
129.528,347.698,142
125.496,348.173,141
126.513,345.646,142
126.123,347.69,148
124.244,347.961,146
125.037,346.531,140
129.7,347.988,120
129.803,346.044,122
129.407,348.502,121
130.683,348.878,123
127.282,345.518,122
124.535,346.96,129
128.769,349.145,125
125.796,347.363,133
126.08,347.388,130
125.591,347.407,140
129.593,347.439,132
124.334,345.959,155
126.543,346.083,125
128.584,346.577,119
132.28,348.074,120
128.273,348.088,123
126.873,347.822,123
125.031,348.321,130
124.93,348.605,139
121.961,347.857,138
124.41,347.198,125
124.501,347.094,122
126.507,346.655,122
127.103,348.055,130
130.893,346.627,116
132.529,347.76,114
129.812,347.202,120
131.976,348.5,117
130.461,346.527,118
130.718,346.076,116
133,348.318,113
132.393,348.405,116
126.634,347.226,126
126.882,348.829,121
131.203,348.586,120
127.757,347.847,121
127.646,348.666,121
127.44,348.218,121
132.08,343.559,108
143.215,340.803,108
131.55,348.302,113
133.397,347.809,114
132.471,347.721,120
129.176,347.235,130
131.527,346.768,120
130.205,347.117,121
131.096,347.519,121
131.723,347.892,117
132.206,347.45,120
131.933,347.551,121
131.98,346.731,119
135.388,347.346,116
133.766,347.466,115
134.51,347.535,118
137.38,347.548,110
133.252,347.491,114
128.685,348.741,118
129.141,346.279,121
128.447,347.045,123
128.109,346.558,122
132.435,344.296,116
130.101,348.091,120
125.776,347.804,122
127.579,347.682,121
133.781,344.819,114
133.577,347.715,116
132.017,346.632,118
131.812,347.073,119
132.177,344.732,118
132.683,343.455,118
132.981,343.886,117
132.763,346.029,117
133.212,345.132,118
133.68,345.383,114
133.677,343.664,114
133.683,344.022,111
133.308,344.914,114
132.382,347.661,122
129.503,345.077,146
129.312,347.618,142
128.929,347.092,132
132.117,347.153,109
133.238,347.381,103
131.797,348.49,115
132.533,345.131,109
136.039,347.681,115
134.902,346.354,118
129.785,347.831,130
127.716,347.922,123
132.374,347.354,108
130.438,347.787,134
133.592,344.924,114
130.828,347.167,153
129.667,346.38,126
129.012,348.216,122
128.877,347.612,126
127.866,347.235,125
128.11,348.066,128
126.316,347.08,143
126.494,348.271,138
127.098,348.603,142
130.015,347.044,122
133.2,347.663,123
133.707,347.523,127
131.99,347.82,127
133.093,348.016,123
130.583,346.798,126
128.027,347.543,136
128.796,347.046,121
130.922,346.432,107
134.329,347.163,105
136.153,345.8,102
133.762,347.451,110
132.409,347.891,106
133.947,345.693,104
132.864,348.164,108
130.996,348.303,115
130.546,348.078,116
130.272,348.066,117
125.912,348.362,126
125.538,347.858,119
128.683,348.281,119
127.666,346.637,120
127.983,346.777,119
127.218,347.801,127
128.328,347.811,119
127.614,348.701,121
125.525,348.581,120
126.652,348.642,120
126.366,346.827,118
133.818,345.679,112
134.719,347.052,117
132.376,347.887,116
129.84,347.977,126
128.663,346.867,121
127.915,347.388,126
130.364,347.174,121
133.732,347.698,115
134.067,347.458,120
134.08,347.602,115
133.09,347.525,117
132.992,347.708,115
133.333,347.274,117
134.544,347.703,119
136.561,346.933,112
133.185,348.46,116
133.481,347.864,117
131.477,348.112,121
129.65,346.977,119
129.427,345.665,120
132.039,347.964,118
130.298,348.366,118
129.41,348.09,119
128.24,345.949,120
131.058,348.931,116
129.214,347.616,122
128.697,347.726,121
128.912,345.195,121
128.727,348.533,119
128.509,348.01,119
128.577,347.63,117
129.473,347.66,116
129.771,348.693,116
130.801,346.654,113
129.296,347.849,126
129.964,347.839,127
128.588,348.407,126
128.445,347.927,123
130.043,347.628,121
